Company Name,Website,Linkedin URL
"Advanced Cooling Technologies, Inc.",https://www.1-act.com/industries/space/,https://www.linkedin.com/company/advanced-cooling-technologies/
AEi Systems,https://www.aeng.com/,https://www.linkedin.com/company/aeisystems/about/
"Aerospace Fabrication & Materials, LLC",https://aerospacefab.com/,https://www.linkedin.com/company/aerospace-fabrication-&-materials-llc/
Aitech Systems,https://aitechsystems.com/,https://www.linkedin.com/company/aitech/
Aspina,https://us.aspina-group.com/en/,https://www.linkedin.com/company/aspina-america/
"ASTER Labs, Inc",https://www.asterlabs.com/main.html,https://www.linkedin.com/company/aster-labs-inc-/about/
Astro- und Feinwerktechnik Adlershof GmbH,https://www.astrofein.com/,https://www.linkedin.com/company/astrofein-astro-und-feinwerktechnik-adlershof-gmbh/
Axient,https://axientcorp.com/,https://www.linkedin.com/company/axientcorp/
Canon,https://www.usa.canon.com/content/canon/en/pro/forms/satellite.html,https://www.linkedin.com/company/canonusa/
Concepts NREC,https://www.conceptsnrec.com/home,https://www.linkedin.com/company/concepts-nrec/
Crystal Instruments,https://www.crystalinstruments.com/,https://www.linkedin.com/company/crystal-instruments/
Dentons US,https://www.dentons.com/en/,https://www.linkedin.com/company/dentons/
DEWESoft,https://dewesoft.com/,https://www.linkedin.com/company/dewesoft-daq/
Diamond USA,https://www.diamond-fo.com/,https://www.linkedin.com/company/diamond-sa/
Dora Factory,https://dorafactory.org/,https://www.linkedin.com/company/dorafactory/about/
Eaton,https://www.eaton.com/us/en-us.html,https://www.linkedin.com/company/eaton/
Edwards Vacuum,https://www.edwardsvacuum.com/en-uk,https://www.linkedin.com/company/edwards/
EMPC,https://empc.com/,https://www.linkedin.com/company/empc/about/
ESI Motion,https://esimotion.com/,https://www.linkedin.com/company/esi-motion/
Flight Works,https://www.flightworksinc.com/landingpage/,https://www.linkedin.com/company/flight-works-inc-/?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A2514726521409156269132%2CVSRPtargetId%3A3570122%2CVSRPcmpt%3Aprimary
Green Circuits,https://www.greencircuits.com/,https://www.linkedin.com/company/greencircuits/
"IDEAS Engineering & Technology, LLC",https://www.ideas-tek.com/,https://www.linkedin.com/company/ideas-tek/
"Infinite Technologies RCS, Inc.",https://compositeradomes.com/,
Integrate,https://integrate.co/,https://www.linkedin.com/company/integrate-co/about/
Japan Space Systems,https://www.jspacesystems.or.jp/en/,https://www.linkedin.com/company/japan-space-systems/about/
Kimball Electronics,https://www.kimballinc.com/,https://www.linkedin.com/company/kimball-distributing/
"Labsphere, Inc.",https://www.labsphere.com/,https://www.linkedin.com/company/labsphere-inc./
LACO Technologies,https://lvs.lacotech.com/,https://www.linkedin.com/company/laco-technologies/
"Libration Systems Management, Inc. (LSM)",https://www.librationsystems.com/,https://www.linkedin.com/company/librationsystems/
